(scrambled) Authors,Abstract Link,Authors,Cited-By Count,Cited-By Link,DOI,Date,EID,Funding Agency,Page Range,PubMed ID,Scopus ID,Scopus Link,SearchedAuthor,Source Title,Title,Type
Jong Hwan Lee;Peter A. Bandettini;Hyun Chul Kim,https://api.elsevier.com/content/abstract/scopus_id/85057456558,,1,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85057456558&origin=inward,10.1016/j.neuroimage.2018.10.054,2019-02-01,2-s2.0-85057456558,,607-627,30366076.0,85057456558,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85057456558&origin=inward,Bandettini,NeuroImage,Deep neural network predicts emotional responses of the human brain from functional magnetic resonance imaging,Article
Şükrü Barış Demiral;Clara R. Freeman;Peter Bandettini;Corinde E. Wiers;Gene Jack Wang;Joelle Sarlls;Amna Zehra;Helene Benveniste;Ehsan Shokri-Kojori;Dardo Tomasi;Gregg Miller;Nora D. Volkow;Hedok Lee;Silvina Horovitz;Kenneth Ke;Elsa Lindgren;Veronica Ramirez;Tansha Srivastava,https://api.elsevier.com/content/abstract/scopus_id/85055328485,,1,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85055328485&origin=inward,10.1016/j.neuroimage.2018.10.043,2019-01-15,2-s2.0-85055328485,,263-273,30342236.0,85055328485,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85055328485&origin=inward,Bandettini,NeuroImage,Apparent diffusion coefficient changes in human brain during sleep – Does it inform on the existence of a glymphatic system?,Article
Javier Gonzalez-Castillo;César Caballero-Gaudes;Stefano Moia;Peter A. Bandettini,https://api.elsevier.com/content/abstract/scopus_id/85053871149,,0,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053871149&origin=inward,10.1007/978-3-030-00931-1_36,2018-01-01,2-s2.0-85053871149,,311-319,,85053871149,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053871149&origin=inward,Bandettini,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Quantitative deconvolution of fmri data with multi-echo sparse paradigm free mapping,Conference Paper
Jakub R. Kaczmarzyk;Patrick McClure;Peter Bandettini;Francisco Pereira;John A. Lee;Dylan Nielson;Satrajit S. Ghosh;Charles Y. Zheng,https://api.elsevier.com/content/abstract/scopus_id/85064820043,,0,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85064820043&origin=inward,,2018-01-01,2-s2.0-85064820043,,4093-4103,,85064820043,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85064820043&origin=inward,Bandettini,Advances in Neural Information Processing Systems,Distributed weight consolidation: A brain segmentation case study,Conference Paper
Alexandru V. Avram;Peter J. Basser;Joelle E. Sarlls,https://api.elsevier.com/content/abstract/scopus_id/85055324723,,2,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85055324723&origin=inward,10.1016/j.neuroimage.2018.10.030,2019-01-15,2-s2.0-85055324723,,255-262,30326294.0,85055324723,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85055324723&origin=inward,Basser,NeuroImage,Measuring non-parametric distributions of intravoxel mean diffusivities using a clinical MRI scanner,Article
Yan Zhang;Stefano Marenco;Jun Shen;Jan Willem van der Veen;Dwight Dickinson;Karen F. Berman;Ryan Kelly;Christian Meyer;Daniel R. Weinberger,https://api.elsevier.com/content/abstract/scopus_id/85050669547,,0,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85050669547&origin=inward,10.1038/s41386-018-0134-5,2018-10-01,2-s2.0-85050669547,,2285-2291,30050047.0,85050669547,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85050669547&origin=inward,Berman,Neuropsychopharmacology,Role of gamma-amino-butyric acid in the dorsal anterior cingulate in age-associated changes in cognition,Article
Qiang Chen;Archana Venkataraman;Aaron L. Goldman;Sayan Ghosal;William Ulrich;Karen F. Berman;Venkata S. Mattay;Daniel R. Weinberger,https://api.elsevier.com/content/abstract/scopus_id/85068327144,,0,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85068327144&origin=inward,10.1117/12.2511220,2019-01-01,2-s2.0-85068327144,OER,,,85068327144,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85068327144&origin=inward,Berman,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,A generative-predictive framework to capture altered brain activity in fMRI and its association with genetic risk: Application to Schizophrenia,Conference Paper
Peter van Gelderen;Jeff H. Duyn,https://api.elsevier.com/content/abstract/scopus_id/85053556025,,0,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053556025&origin=inward,10.1002/mrm.27398,2019-01-01,2-s2.0-85053556025,,628-638,30230605.0,85053556025,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053556025&origin=inward,Duyn,Magnetic Resonance in Medicine,White matter intercompartmental water exchange rates determined from detailed modeling of the myelin sheath,Article
Matthew K. Schindler;Peter van Gelderen;Pascal Sati;Jeff H. Duyn;Jacco A. de Zwart;Jiaen Liu;Daniel S. Reich,https://api.elsevier.com/content/abstract/scopus_id/85049795779,,0,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85049795779&origin=inward,10.1016/j.neuroimage.2018.07.011,2018-11-01,2-s2.0-85049795779,,292-300,29981905.0,85049795779,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049795779&origin=inward,Duyn,NeuroImage,Impulse response timing differences in BOLD and CBV weighted fMRI,Article
Davis P. Argersinger;Russell R. Lonser;Sanhita Sinharay;Codrin Lungu;Mark Hallett;Howard J. Federoff;Debra J. Ehrlich;Gretchen Scott;Kareem A. Zaghloul;Krystof S. Bankiewicz;Peter Herscovitch;Tianxia Wu;Dima A. Hammoud;John D. Heiss,https://api.elsevier.com/content/abstract/scopus_id/85066470261,,0,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85066470261&origin=inward,10.1002/mds.27724,2019-01-01,2-s2.0-85066470261,,,,85066470261,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85066470261&origin=inward,Hallett,Movement Disorders,Trial of magnetic resonance–guided putaminal gene therapy for advanced Parkinson's disease,Article
Rezvan Ameli;Steven A. Epstein;Carine W. Maurer;Stephen Sinclair;Geanna Capitan;Mark Hallett;Silvina G. Horovitz;Gaurang S. Limachia;Kathrin Lafave,https://api.elsevier.com/content/abstract/scopus_id/85056323152,,3,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85056323152&origin=inward,10.1212/WNL.0000000000006514,2018-11-13,2-s2.0-85056323152,NIH,E1870-E1879,30305450.0,85056323152,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85056323152&origin=inward,Hallett,Neurology,Article gray matter differences in patients with functional movement disorders,Article
Mary Kay Floeter;Michael G. Clark;Laura E. Danielian;Devin Bageac;Rachel Smallwood Shoukry;Caleb J. Huang,https://api.elsevier.com/content/abstract/scopus_id/85054736833,,3,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85054736833&origin=inward,10.1080/21678421.2018.1517180,2018-10-02,2-s2.0-85054736833,,562-569,30299161.0,85054736833,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85054736833&origin=inward,Hallett,Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration,Loss of functional connectivity is an early imaging marker in primary lateral sclerosis,Article
Maria Kryza-Lacombe;Melissa A. Brotman;Daniel S. Pine;Jillian Lee Wiggins;Richard C. Reynolds;Kenneth Towbin;Ellen Leibenluft,https://api.elsevier.com/content/abstract/scopus_id/85063696578,,0,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85063696578&origin=inward,10.1111/bdi.12768,2019-06-01,2-s2.0-85063696578,NIMH,309-320,30851221.0,85063696578,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85063696578&origin=inward,Leibenluft,Bipolar Disorders,Neural mechanisms of face emotion processing in youths and adults with bipolar disorder,Article
Katharina Kircanski;Elizabeth Moroney;Kenneth E. Towbin;Alexandra Roule;Gretchen Perhamus;Joel Stoddard;Roxann Roberson-Nay;Jennifer Y. Yi;Richard C. Reynolds;Argyris Stringaris;Laura Donahue;Ellen Leibenluft;Melissa A. Brotman;Laura Machlin;Daniel S. Pine;Wan Ling Tseng;Christen M. Deveney;John M. Hettema;Derek Hsu;Anna E. Frackman,https://api.elsevier.com/content/abstract/scopus_id/85060043984,,1,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060043984&origin=inward,10.1176/appi.ajp.2018.18040491,2019-01-01,2-s2.0-85060043984,,67-76,30336704.0,85060043984,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85060043984&origin=inward,Leibenluft,American Journal of Psychiatry,Brain mechanisms of attention orienting following frustration: Associations with irritability and age in youths,Article
Johanna M. Jarcho;Brent I. Rappaport;Ellen Leibenluft;Daniel S. Pine;Ashley R. Smith;Eric E. Nelson,https://api.elsevier.com/content/abstract/scopus_id/85056722440,,2,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85056722440&origin=inward,10.1089/cap.2017.0142,2018-11-01,2-s2.0-85056722440,,646-654,29792726.0,85056722440,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85056722440&origin=inward,Leibenluft,Journal of Child and Adolescent Psychopharmacology,I like them...will they like me? Evidence for the role of the ventrolateral prefrontal cortex during mismatched social appraisals in anxious youth,Article
Stephen J. Gotts;Adrian W. Gilmore;Shawn C. Milleville;Sarah E. Kalinowski;Alex Martin,https://api.elsevier.com/content/abstract/scopus_id/85059839456,,1,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059839456&origin=inward,10.1016/j.neuropsychologia.2018.12.023,2019-02-18,2-s2.0-85059839456,,31-43,30610842.0,85059839456,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85059839456&origin=inward,Martin,Neuropsychologia,Identifying task-general effects of stimulus familiarity in the parietal memory network,Article
Alex Martin;Christine E. Watson;Stephen J. Gotts;Laurel J. Buxbaum,https://api.elsevier.com/content/abstract/scopus_id/85059397375,,1,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059397375&origin=inward,10.1016/j.nicl.2018.08.033,2019-01-01,2-s2.0-85059397375,,,30612063.0,85059397375,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85059397375&origin=inward,Martin,NeuroImage: Clinical,Bilateral functional connectivity at rest predicts apraxic symptoms after left hemisphere stroke,Article
Alex Martin;Gregory L. Wallace;Jason Crutcher,https://api.elsevier.com/content/abstract/scopus_id/85055425406,,0,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85055425406&origin=inward,10.1002/aur.1969,2018-08-01,2-s2.0-85055425406,,1175-1186,30365251.0,85055425406,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85055425406&origin=inward,Martin,Autism Research,Dissociations in the neural substrates of language and social functioning in autism spectrum disorder,Article
Avniel Singh Ghuman;Alex Martin,https://api.elsevier.com/content/abstract/scopus_id/85065538990,,0,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85065538990&origin=inward,10.1016/j.tics.2019.04.004,2019-07-01,2-s2.0-85065538990,,534-536,31103440.0,85065538990,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85065538990&origin=inward,Martin,Trends in Cognitive Sciences,Dynamic Neural Representations: An Inferential Challenge for fMRI,Short Survey
Elisha P. Merriam;David J. Heeger;Zvi N. Roth,https://api.elsevier.com/content/abstract/scopus_id/85054133925,,1,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85054133925&origin=inward,10.7554/eLife.37241,2018-08-14,2-s2.0-85054133925,NIH,,30106372.0,85054133925,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85054133925&origin=inward,Merriam,eLife,Stimulus vignetting and orientation selectivity in human visual cortex,Article
Marisa Carrasco;David J. Heeger;Elisha P. Merriam;Laura Dugué,https://api.elsevier.com/content/abstract/scopus_id/85053080665,,9,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053080665&origin=inward,10.1093/cercor/bhx140,2018-01-01,2-s2.0-85053080665,,2375-2390,28981585.0,85053080665,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053080665&origin=inward,Merriam,Cerebral Cortex,Specific visual subregions of TPJ mediate reorienting of spatial attention,Article
Samantha J. Fede;Jisoo Lee;Jeesun Jung;Katrin Charlet;Christine Muench;Hui Sun;Reza Momenan;Audrey Luo;Falk W. Lohoff;Daniel B. Rosoff,https://api.elsevier.com/content/abstract/scopus_id/85066163873,,0,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85066163873&origin=inward,10.1093/alcalc/agz032,2019-05-01,2-s2.0-85066163873,,209-215,31008507.0,85066163873,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85066163873&origin=inward,Momenan,"Alcohol and alcoholism (Oxford, Oxfordshire)",Lack of Association Between Serotonin Transporter Gene (SLC6A4) Promoter Methylation and Amygdala Response During Negative Emotion Processing in Individuals With Alcohol Dependence,Article
Julia E. Swan;Joshua Gowin;Matthew E. Sloan;Reza Momenan;Vijay A. Ramchandani,https://api.elsevier.com/content/abstract/scopus_id/85056848429,,2,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85056848429&origin=inward,10.1007/s00213-018-5113-3,2019-02-14,2-s2.0-85056848429,,775-785,30456539.0,85056848429,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85056848429&origin=inward,Momenan,Psychopharmacology,The relationship between delay discounting and alcohol dependence in individuals with and without comorbid psychopathology,Article
Albert Batalla;Janice Bunn;Rocio Martin-Santos;Deborah Yurgelun-Todd;Scott Mackey;Nicholas B. Allen;Chiang Shan R. Li;Maartje Luijten;Valentina Lorenzetti;Reza Momenan;John J. Foxe;Betty Jo Salmeron;Patricia Conrod;Nelly Alia-Klein;Lianne Schmaal;Zsuzsika Sjoerds;Bader Chaarani;Elisabeth Caparelli;Sara Blaine;Anna E. Goudriaan;Philip Spechler;Edythe London;Mary M. Heitzeg;Godfrey Pearlson;Gunter Schumann;Samantha Brooks;Elliot A. Stein;Alain Dagher;Marc Etienne Rousseau;Martin P. Paulus;David C. Glahn;Sylvane Desrivieres;Ozlem Korucuoglu;Nicholas Allgaier;Anne Uhlmann;Alan Evans;Murat Yücel;Hugh Garavan;Sarah Feldstein-Ewing;Ruth Van Holst;Sheng Zhang;Dick Veltman;Janna Cousijn;Robert Hester;Sarah Whittle;Angelica Morales;Rita Z. Goldstein;Nadia Solowij;Paul M. Thompson;Yann Ying Chye;Derrek P. Hibar;Catherine Orr;Kent Hutchison;Margaret J. Wright;Susan Tapert;April May;Renée Schluter;Dan J. Stein;Neda Jahanshad;Rajita Sinha,https://api.elsevier.com/content/abstract/scopus_id/85061044348,,4,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85061044348&origin=inward,10.1176/appi.ajp.2018.17040415,2019-02-01,2-s2.0-85061044348,,119-128,30336705.0,85061044348,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85061044348&origin=inward,Momenan,American Journal of Psychiatry,Mega-analysis of gray matter volume in substance dependence: General and substance-specific regional effects,Article
Samantha J. Fede;Sarah F. Dean;Erica N. Grodin;Reza Momenan;Nancy Diazgranados,https://api.elsevier.com/content/abstract/scopus_id/85063233336,,0,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85063233336&origin=inward,10.1016/j.nicl.2019.101782,2019-01-01,2-s2.0-85063233336,,,30921611.0,85063233336,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85063233336&origin=inward,Momenan,NeuroImage: Clinical,Resting state connectivity best predicts alcohol use severity in moderate to heavy alcohol users,Article
Jeesun Jung;Melanie Schwandt;Christine Muench;Carlos R. Cortes;Reza Momenan;Falk W. Lohoff,https://api.elsevier.com/content/abstract/scopus_id/85049883924,,0,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85049883924&origin=inward,10.1038/s41398-018-0184-9,2018-12-01,2-s2.0-85049883924,,,30006604.0,85049883924,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049883924&origin=inward,Momenan,Translational Psychiatry,The major depressive disorder GWAS-supported variant rs10514299 in TMEM161B-MEF2C predicts putamen activation during reward processing in alcohol dependence,Article
Kelsey Sundby;Grace M. Brennan;Erica N. Grodin;Lauren Sussman;Reza Momenan;Markus Heilig;Nancy Diazgranados,https://api.elsevier.com/content/abstract/scopus_id/85057151554,,5,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85057151554&origin=inward,10.1016/j.bpsc.2018.06.009,2018-12-01,2-s2.0-85057151554,NIAAA,1022-1031,30143454.0,85057151554,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85057151554&origin=inward,Momenan,Biological Psychiatry: Cognitive Neuroscience and Neuroimaging,Neural Correlates of Compulsive Alcohol Seeking in Heavy Drinkers,Article
Maura L. Furey;Jessica L. Reed;Jennifer W. Evans;Allison C. Nugent;Carlos A. Zarate;Joanna E. Szczepanik,https://api.elsevier.com/content/abstract/scopus_id/85062038500,,1,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85062038500&origin=inward,10.1016/j.bpsc.2019.01.005,2019-07-01,2-s2.0-85062038500,,610-618,,85062038500,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85062038500&origin=inward,Nugent,Biological Psychiatry: Cognitive Neuroscience and Neuroimaging,Effects of Ketamine on Brain Activity During Emotional Processing: Differential Findings in Depressed Versus Healthy Control Participants,Article
Jessica R. Gilbert;Allison C. Nugent;Carlos A. Zarate;Kathleen E. Wills,https://api.elsevier.com/content/abstract/scopus_id/85058137370,,2,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058137370&origin=inward,10.1016/j.pscychresns.2018.09.001,2019-01-30,2-s2.0-85058137370,,64-66,30551012.0,85058137370,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85058137370&origin=inward,Nugent,Psychiatry Research - Neuroimaging,Synaptic potentiation and rapid antidepressant response to ketamine in treatment-resistant major depression: A replication study,Article
Jennifer W. Evans;Sam L. Snider;Dipavo Banerjee;Cristan Farmer;Allison C. Nugent;Carlos A. Zarate,https://api.elsevier.com/content/abstract/scopus_id/85067390070,,0,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85067390070&origin=inward,10.1002/hbm.24679,2019-01-01,2-s2.0-85067390070,,,,85067390070,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85067390070&origin=inward,Nugent,Human Brain Mapping,Multimodal imaging reveals a complex pattern of dysfunction in corticolimbic pathways in major depressive disorder,Article
Elizabeth D. Ballard;Carl W. Lejuez;Jessica L. Reed;Jennifer W. Evans;Allison C. Nugent;Carlos A. Zarate;Joanna E. Szczepanik,https://api.elsevier.com/content/abstract/scopus_id/85064911728,,0,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85064911728&origin=inward,10.1007/s11682-019-00084-w,2019-01-01,2-s2.0-85064911728,,,,85064911728,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85064911728&origin=inward,Nugent,Brain Imaging and Behavior,Mapping anticipatory anhedonia: an fMRI study,Article
Julia S. Yarrington;Elizabeth D. Ballard;Jessica L. Reed;Jennifer W. Evans;Joanna Szczepanik;Matthew K. Nock;Daniel P. Dickstein;Allison C. Nugent;Carlos A. Zarate,https://api.elsevier.com/content/abstract/scopus_id/85061584307,,0,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85061584307&origin=inward,10.1111/sltb.12543,2019-01-01,2-s2.0-85061584307,,,,85061584307,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85061584307&origin=inward,Nugent,Suicide and Life-Threatening Behavior,Functional Imaging of the Implicit Association of the Self With Life and Death,Article
Jessica Gill;Paul J. Carlson;Alicja Lerner;Wayne C. Drevets;Allison C. Nugent;Inbal Reuveni;Meena Vythilingam;Dennis S. Charney;Alexander Neumeister;Omer Bonne,https://api.elsevier.com/content/abstract/scopus_id/85054428567,,0,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85054428567&origin=inward,10.1038/s41398-018-0257-9,2018-12-01,2-s2.0-85054428567,,,30287828.0,85054428567,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85054428567&origin=inward,Nugent,Translational Psychiatry,Altered cerebral benzodiazepine receptor binding in post-traumatic stress disorder,Article
Joanna Szczepanik;Lawrence Park;Maura Furey;Marc S. Lener;Cristan Farmer;Allison C. Nugent;Carlos A. Zarate;Jessica Ellis,https://api.elsevier.com/content/abstract/scopus_id/85057790880,,5,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85057790880&origin=inward,10.1093/ijnp/pyy051,2018-09-01,2-s2.0-85057790880,,10-18,30184133.0,85057790880,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85057790880&origin=inward,Nugent,International Journal of Neuropsychopharmacology,Neurophysiological Changes Associated with Antidepressant Response to Ketamine Not Observed in a Negative Trial of Scopolamine in Major Depressive Disorder,Article
