FMRIF?,Searched PI,Type,Source Title,Title,Authors (scrambled),Date,DOI,PubMed ID,Scopus ID,EID,Cited-By Count,Abstract Link,Scopus Link,Cited-By Link,Funding Agency,Page Range
N,Atlas,Letter,Pain,Reply to Zaman et al.,Dominik Mischkowski;Lauren Y. Atlas,2019-06-01,10.1097/j.pain.0000000000001572,31107419,85066951542,2-s2.0-85066951542,0,https://api.elsevier.com/content/abstract/scopus_id/85066951542,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85066951542&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85066951542&origin=inward,NIH,1485-1486
N,Atlas,Review,Current Opinion in Behavioral Sciences,"How instructions shape aversive learning: higher order knowledge, reversal learning, and the role of the amygdala",Lauren Y. Atlas,2019-04-01,10.1016/j.cobeha.2018.12.008,,85060104256,2-s2.0-85060104256,5,https://api.elsevier.com/content/abstract/scopus_id/85060104256,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85060104256&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060104256&origin=inward,NCCIH,121-129
N,Baker,Article,Scientific Reports,Intention to learn modulates the impact of reward and punishment on sequence learning,Chris I. Baker;Charlotte J. Stagg;Adam Steel,2020-12-01,10.1038/s41598-020-65853-w,32483289,85085854297,2-s2.0-85085854297,0,https://api.elsevier.com/content/abstract/scopus_id/85085854297,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85085854297&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85085854297&origin=inward,WT,
Y,Baker,Article,"Cerebral cortex (New York, N.Y. : 1991)",The Human Posterior Superior Temporal Sulcus Samples Visual Space Differently From Other Face-Selective Regions,Dwight J. Kravitz;Lionel Rauth;Chris Baker;Leslie G. Ungerleider;Amy Pilkington;David Pitcher,2020-03-21,10.1093/cercor/bhz125,31264693,85074469445,2-s2.0-85074469445,3,https://api.elsevier.com/content/abstract/scopus_id/85074469445,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85074469445&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85074469445&origin=inward,,778-785
N,Baker,Article,Current Biology,Boundaries Extend and Contract in Scene Memory Depending on Image Properties,Chris I. Baker;Wilma A. Bainbridge,2020-02-03,10.1016/j.cub.2019.12.004,31983637,85078482896,2-s2.0-85078482896,1,https://api.elsevier.com/content/abstract/scopus_id/85078482896,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85078482896&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85078482896&origin=inward,NIH,537-543.e3
N,Baker,Review,F1000Research,"Recent advances in understanding object recognition in the human brain: Deep neural networks, temporal dynamics, and context",Chris Baker;Susan G. Wardle,2020-01-01,10.12688/f1000research.22296.1,32566136,85086870175,2-s2.0-85086870175,0,https://api.elsevier.com/content/abstract/scopus_id/85086870175,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85086870175&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85086870175&origin=inward,,
N,Baker,Article,"Alzheimer's and Dementia: Diagnosis, Assessment and Disease Monitoring",Memorability of photographs in subjective cognitive decline and mild cognitive impairment: Implications for cognitive assessment,Anja Schneider;Claudia Bartels;Ingo Kilimann;Daniel Bittner;Michael Heneka;David Berron;Coraline Metzger;Arturo Cardenas-Blanco;Stefan Teipel;Oliver Peters;Josef Priller;Wilma A. Bainbridge;Martina Buchmann;Barbara Kofler;Frederic Brosseron;Wenzel Glanz;Christoph Laske;Klaus Fliessbach;Dominik Diesing;Daniel Janowitz;Chris I. Baker;Michael Wagner;Slawek Altenstein;Janna Rudolph;Hartmut Schütze;Steffen Wolfsgruber;Siyao Li;Annika Spottke;Frank Jessen;Eike Jakob Spruth;Jens Wiltfang;Katharina Buerger;Emrah Düzel;Laura Dobisch,2019-12-01,10.1016/j.dadm.2019.07.005,,85071610785,2-s2.0-85071610785,2,https://api.elsevier.com/content/abstract/scopus_id/85071610785,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85071610785&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85071610785&origin=inward,DZNE,610-618
N,Baker,Review,Annual Review of Vision Science,Scene Perception in the Human Brain,Russell A. Epstein;Chris I. Baker,2019-09-15,10.1146/annurev-vision-091718-014809,31226012,85072266392,2-s2.0-85072266392,6,https://api.elsevier.com/content/abstract/scopus_id/85072266392,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85072266392&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85072266392&origin=inward,NIMH,373-397
Y,Baker,Article,Cerebral Cortex,Differential Representations of Perceived and Retrieved Visual Information in Hippocampus and Cortex,Dwight J. Kravitz;Sue Hyun Lee;Chris I. Baker,2019-09-13,10.1093/cercor/bhy325,30590463,85072026868,2-s2.0-85072026868,2,https://api.elsevier.com/content/abstract/scopus_id/85072026868,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85072026868&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85072026868&origin=inward,NARSAD,4452-4461
Y,Baker,Article,eLife,Distinct subdivisions of human medial parietal cortex support recollection of people and places,Chris I. Baker;Alexis Kidder;Adrian W. Gilmore;Edward H. Silson;Adam Steel,2019-07-01,10.7554/eLife.47391,31305238,85070789103,2-s2.0-85070789103,4,https://api.elsevier.com/content/abstract/scopus_id/85070789103,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85070789103&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85070789103&origin=inward,NIH,
N,Baker,Conference Paper,"7th International Conference on Learning Representations, ICLR 2019",Revealing interpretable object representations from human behavior,Martin N. Hebart;Charles Y. Zheng;Chris I. Baker;Francisco Pereira,2019-01-01,,,85083951659,2-s2.0-85083951659,2,https://api.elsevier.com/content/abstract/scopus_id/85083951659,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85083951659&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85083951659&origin=inward,NIMH,
N,Baker,Article,PLoS ONE,"THINGS: A database of 1,854 object concepts and more than 26,000 naturalistic object images",Chris I. Baker;Anna Corriveau;Caitlin Van Wicklin;Alexis Kidder;Adam H. Dickter;Wan Y. Kwok;Martin N. Hebart,2019-01-01,10.1371/journal.pone.0223792,31613926,85073476140,2-s2.0-85073476140,1,https://api.elsevier.com/content/abstract/scopus_id/85073476140,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85073476140&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85073476140&origin=inward,,
,Bandettini,Article,NeuroImage,"Untangling the relatedness among correlations, part III: Inter-subject correlation analysis through Bayesian multilevel modeling for naturalistic scanning",Robert W. Cox;Peter A. Bandettini;Xianggui Qu;Emily S. Finn;Paul A. Taylor;Peter J. Molfese;Gang Chen,2020-08-01,10.1016/j.neuroimage.2019.116474,31884057,85077746474,2-s2.0-85077746474,2,https://api.elsevier.com/content/abstract/scopus_id/85077746474,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85077746474&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85077746474&origin=inward,NIH,
N,Bandettini,Editorial,Muscle and Nerve,What's New at Muscle &amp; Nerve?,Zachary Simmons,2020-08-01,10.1002/mus.27007,32557730,85087346416,2-s2.0-85087346416,0,https://api.elsevier.com/content/abstract/scopus_id/85087346416,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087346416&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087346416&origin=inward,,152-153
N,Bandettini,Article,NeuroImage,Idiosynchrony: From shared responses to individual differences during naturalistic neuroimaging,Peter A. Bandettini;Emily S. Finn;Daniel A. Handwerker;Enrico Glerean;Arman Y. Khojandi;Dylan Nielson;Peter J. Molfese,2020-07-15,10.1016/j.neuroimage.2020.116828,32276065,85083213520,2-s2.0-85083213520,1,https://api.elsevier.com/content/abstract/scopus_id/85083213520,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85083213520&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85083213520&origin=inward,NIH,
N,Bandettini,Article,Biological Psychiatry,Peripheral Blood Cell–Stratified Subgroups of Inflamed Depression,Junaid Bhatti;Mary Ellen Lynall;Menna R. Clatworthy;Philip Cowen;Lorinda Turner;Valeria Mondelli;Carmine M. Pariante;Wayne C. Drevets;Linda Pointon;Edward Bullmore;Declan Jones;Jonathan Cavanagh;Neil A. Harrison;Peter de Boer,2020-07-15,10.1016/j.biopsych.2019.11.017,32000983,85078293353,2-s2.0-85078293353,1,https://api.elsevier.com/content/abstract/scopus_id/85078293353,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85078293353&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85078293353&origin=inward,NIHR,185-196
,Bandettini,Article,Biological Psychiatry,"The Genetics of the Mood Disorder Spectrum: Genome-wide Association Analyses of More Than 185,000 Cases and 439,000 Controls",Srdjan Djurovic;Julien Bryois;Matthew Flickinger;Sarah E. Bergen;Maciej Trzaskowski;Anders M. Dale;Cristiana Cruceanu;Peter A. Holmans;Erlend Bøen;Huda Akil;Michael Bauer;Gregory E. Crawford;Monika Budde;Tim B. Bigdeli;J. Raymond DePaulo;Yunpeng Wang;Sandra Van der Auwera;Mark J. Adams;Jonas Bybjerg-Grauholm;Marie Bækvad-Hansen;Nelson B. Freimer;Enda M. Byrne;Liam Abbott;Stephan Ripke;Esben Agerbo;Thalia C. Eley;Eske M. Derks;Annelie Nordin Adolfsson;Diego Albani;Jane Hvarregaard Christensen;Christiaan A. de Leeuw;Abdel Abdellaoui;Verneri Antilla;Katrin Gade;Adebayo Anjorin;Jurgen Del-Favero;Vassily Trubetskoy;Tune H. Pers;Ashley Dumont;Liz Forty;Marco Boks;Margit Burmeister;Christine Fraser;Louise Frisén;Andrew McQuillin;Jack D. Barchas;Erin C. Dunn;Conor V. Dolan;Franziska Degenhardt;Claire Churchhouse;William Byerley;Diane Gage;Tatiana M. Foroud;William Coryell;Torbjørn Elvsåshagen;James Boocock;Toni Kim Clarke;William Bunney;Danfeng Chen;Ney Alliey-Rodriguez;Baptiste Couvy-Duchesne;Elisabeth B. Binder;Valentina Escott-Price;Kimberly Chambert;Ian J. Deary;Jonathan R.I. Coleman;Jennifer M. Whitehead Pavlides;David St Clair;Nese Direk;Richard Belliveau;Piotr M. Czerski;Na Cai;Amanda L. Dobbyn;Judith A. Badner;Chun Chieh Fan;Jerome C. Foo;Lucía Colodro-Conde;Stacy Steinberg;Julie Garnham;Manuel Mattheisen;Silviu Alin Bacanu;Henriette N. Buttenschøn;Enrique Castelao;Miquel Casas;Thomas D. Als;Pablo Cervantes;Josef Frank;Hilary K. Finucane;Nicholas Bass;Aartjan T.F. Beekman;Eli A. Stahl;Sascha B. Fischer;Gail Davies;David W. Craig;Felecia Cerrato;Alexander W. Charney;Héléna A. Gaspar;Swapnil Awasthi;Till F.M. Andlauer;Andreas J. Forstner,2020-07-15,10.1016/j.biopsych.2019.10.015,31926635,85078024661,2-s2.0-85078024661,5,https://api.elsevier.com/content/abstract/scopus_id/85078024661,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85078024661&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85078024661&origin=inward,NRW,169-184
Y,Bandettini,Article,NeuroImage,Sub-millimeter fMRI reveals multiple topographical digit representations that form action maps in human motor cortex,Sriranga Kashyap;Benedikt A. Poser;Sean Marrett;Peter A. Bandettini;Jozien Goense;Daniel A. Handwerker;Emily S. Finn;Laurentius Huber;Marlene Bönstrup;Dimo Ivanov;Natalia Petridou;Daniel R. Glen,2020-03-01,10.1016/j.neuroimage.2019.116463,31862526,85076716317,2-s2.0-85076716317,2,https://api.elsevier.com/content/abstract/scopus_id/85076716317,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85076716317&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076716317&origin=inward,NIMH,
Y,Bandettini,Article,NeuroImage,Integrated VASO and perfusion contrast: A new tool for laminar functional MRI,Benedikt A. Poser;Linqing Li;Peter A. Bandettini;Larentius Huber;Yuhui Chai,2020-02-15,10.1016/j.neuroimage.2019.116358,31740341,85075905478,2-s2.0-85075905478,1,https://api.elsevier.com/content/abstract/scopus_id/85075905478,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85075905478&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85075905478&origin=inward,NIMH,
Y,Bandettini,Review,Progress in Neurobiology,Layer-dependent functional connectivity methods,Benedikt A. Poser;Kamil Uludag;Sean Marrett;So Hyun Han;Peter A. Bandettini;Yuhui Chai;Tony Stöcker;Emily S. Finn;Seong Gi Kim;Laurentius Huber;Rainer Goebel;Rüdiger Stirnberg,2020-01-01,10.1016/j.pneurobio.2020.101835,32512115,85086426599,2-s2.0-85086426599,0,https://api.elsevier.com/content/abstract/scopus_id/85086426599,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85086426599&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85086426599&origin=inward,IBS,
,Bandettini,Article,Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration,Electrical impedance myography (EIM) in a natural history study of C9ORF72 mutation carriers,Tianxia Wu;Michelle B. Offit;Mary Kay Floeter;Tanya J. Lehky,2020-01-01,10.1080/21678421.2020.1752247,,85083719754,2-s2.0-85083719754,0,https://api.elsevier.com/content/abstract/scopus_id/85083719754,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85083719754&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85083719754&origin=inward,ATSDR,
