Title,PI,Authors,Date,Cited-By Count,Source Title,Page Range,DOI,PubMed ID,Scopus ID,EID,Type,Funding Agency,Abstract Link,Scopus Link,Cited-By Link
Measuring non-parametric distributions of intravoxel mean diffusivities using a clinical MRI scanner,Basser,Peter J. Basser;Alexandru V. Avram;Joelle E. Sarlls,2019-01-15,4,NeuroImage,255-262,10.1016/j.neuroimage.2018.10.030,30326294,85055324723,"('2-s2.0-85055324723', 'Basser')",Article,NICHD,https://api.elsevier.com/content/abstract/scopus_id/85055324723,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85055324723&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85055324723&origin=inward
Role of gamma-amino-butyric acid in the dorsal anterior cingulate in age-associated changes in cognition,Berman,Ryan Kelly;Karen F. Berman;Yan Zhang;Christian Meyer;Stefano Marenco;Jun Shen;Jan Willem van der Veen;Dwight Dickinson;Daniel R. Weinberger,2018-10-01,3,Neuropsychopharmacology,2285-2291,10.1038/s41386-018-0134-5,30050047,85050669547,"('2-s2.0-85050669547', 'Berman')",Article,NIMH,https://api.elsevier.com/content/abstract/scopus_id/85050669547,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85050669547&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85050669547&origin=inward
A generative-predictive framework to capture altered brain activity in fMRI and its association with genetic risk: Application to Schizophrenia,Berman,Karen F. Berman;Venkata S. Mattay;Archana Venkataraman;Sayan Ghosal;Qiang Chen;William Ulrich;Aaron L. Goldman;Daniel R. Weinberger,2019-01-01,0,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,,10.1117/12.2511220,,85068327144,"('2-s2.0-85068327144', 'Berman')",Conference Paper,NIMH,https://api.elsevier.com/content/abstract/scopus_id/85068327144,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85068327144&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85068327144&origin=inward
White matter intercompartmental water exchange rates determined from detailed modeling of the myelin sheath,Duyn,Peter van Gelderen;Jeff H. Duyn,2019-01-01,7,Magnetic Resonance in Medicine,628-638,10.1002/mrm.27398,30230605,85053556025,"('2-s2.0-85053556025', 'Duyn')",Article,NINDS,https://api.elsevier.com/content/abstract/scopus_id/85053556025,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053556025&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053556025&origin=inward
Impulse response timing differences in BOLD and CBV weighted fMRI,Duyn,Jacco A. de Zwart;Pascal Sati;Daniel S. Reich;Matthew K. Schindler;Peter van Gelderen;Jiaen Liu;Jeff H. Duyn,2018-11-01,0,NeuroImage,292-300,10.1016/j.neuroimage.2018.07.011,29981905,85049795779,"('2-s2.0-85049795779', 'Duyn')",Article,NIH,https://api.elsevier.com/content/abstract/scopus_id/85049795779,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049795779&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85049795779&origin=inward
Trial of magnetic resonance–guided putaminal gene therapy for advanced Parkinson's disease,Hallett,Howard J. Federoff;Dima A. Hammoud;Davis P. Argersinger;Russell R. Lonser;Krystof S. Bankiewicz;Peter Herscovitch;Tianxia Wu;Codrin Lungu;Sanhita Sinharay;Kareem A. Zaghloul;Debra J. Ehrlich;Mark Hallett;Gretchen Scott;John D. Heiss,2019-07-01,10,Movement Disorders,1073-1078,10.1002/mds.27724,31145831,85066470261,"('2-s2.0-85066470261', 'Hallett')",Article,UC,https://api.elsevier.com/content/abstract/scopus_id/85066470261,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85066470261&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85066470261&origin=inward
Article gray matter differences in patients with functional movement disorders,Hallett,Gaurang S. Limachia;Carine W. Maurer;Silvina G. Horovitz;Stephen Sinclair;Rezvan Ameli;Steven A. Epstein;Geanna Capitan;Mark Hallett;Kathrin Lafave,2018-11-13,8,Neurology,E1870-E1879,10.1212/WNL.0000000000006514,30305450,85056323152,"('2-s2.0-85056323152', 'Hallett')",Article,NINDS,https://api.elsevier.com/content/abstract/scopus_id/85056323152,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85056323152&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85056323152&origin=inward
Loss of functional connectivity is an early imaging marker in primary lateral sclerosis,Hallett,Caleb J. Huang;Rachel Smallwood Shoukry;Devin Bageac;Laura E. Danielian;Mary Kay Floeter;Michael G. Clark,2018-10-02,8,Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration,562-569,10.1080/21678421.2018.1517180,30299161,85054736833,"('2-s2.0-85054736833', 'Hallett')",Article,NIH,https://api.elsevier.com/content/abstract/scopus_id/85054736833,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85054736833&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85054736833&origin=inward
Neural mechanisms of face emotion processing in youths and adults with bipolar disorder,Leibenluft,Ellen Leibenluft;Richard C. Reynolds;Jillian Lee Wiggins;Maria Kryza-Lacombe;Kenneth Towbin;Melissa A. Brotman;Daniel S. Pine,2019-06-01,1,Bipolar Disorders,309-320,10.1111/bdi.12768,30851221,85063696578,"('2-s2.0-85063696578', 'Leibenluft')",Article,NIH,https://api.elsevier.com/content/abstract/scopus_id/85063696578,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85063696578&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85063696578&origin=inward
Brain mechanisms of attention orienting following frustration: Associations with irritability and age in youths,Leibenluft,Laura Donahue;Anna E. Frackman;Argyris Stringaris;Christen M. Deveney;Laura Machlin;Elizabeth Moroney;Gretchen Perhamus;Ellen Leibenluft;Richard C. Reynolds;John M. Hettema;Jennifer Y. Yi;Melissa A. Brotman;Roxann Roberson-Nay;Daniel S. Pine;Wan Ling Tseng;Derek Hsu;Alexandra Roule;Katharina Kircanski;Joel Stoddard;Kenneth E. Towbin,2019-01-01,12,American Journal of Psychiatry,67-76,10.1176/appi.ajp.2018.18040491,30336704,85060043984,"('2-s2.0-85060043984', 'Leibenluft')",Article,NIMH,https://api.elsevier.com/content/abstract/scopus_id/85060043984,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85060043984&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060043984&origin=inward
I like them...will they like me? Evidence for the role of the ventrolateral prefrontal cortex during mismatched social appraisals in anxious youth,Leibenluft,Eric E. Nelson;Ellen Leibenluft;Ashley R. Smith;Brent I. Rappaport;Johanna M. Jarcho;Daniel S. Pine,2018-11-01,3,Journal of Child and Adolescent Psychopharmacology,646-654,10.1089/cap.2017.0142,29792726,85056722440,"('2-s2.0-85056722440', 'Leibenluft')",Article,NARSAD,https://api.elsevier.com/content/abstract/scopus_id/85056722440,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85056722440&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85056722440&origin=inward
Identifying task-general effects of stimulus familiarity in the parietal memory network,Martin,Adrian W. Gilmore;Sarah E. Kalinowski;Stephen J. Gotts;Alex Martin;Shawn C. Milleville,2019-02-18,5,Neuropsychologia,31-43,10.1016/j.neuropsychologia.2018.12.023,30610842,85059839456,"('2-s2.0-85059839456', 'Martin')",Article,NIH,https://api.elsevier.com/content/abstract/scopus_id/85059839456,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85059839456&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059839456&origin=inward
Bilateral functional connectivity at rest predicts apraxic symptoms after left hemisphere stroke,Martin,Laurel J. Buxbaum;Stephen J. Gotts;Christine E. Watson;Alex Martin,2019-01-01,4,NeuroImage: Clinical,,10.1016/j.nicl.2018.08.033,30612063,85059397375,"('2-s2.0-85059397375', 'Martin')",Article,NIMH,https://api.elsevier.com/content/abstract/scopus_id/85059397375,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85059397375&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059397375&origin=inward
Dissociations in the neural substrates of language and social functioning in autism spectrum disorder,Martin,Gregory L. Wallace;Jason Crutcher;Alex Martin,2018-08-01,0,Autism Research,1175-1186,10.1002/aur.1969,30365251,85055425406,"('2-s2.0-85055425406', 'Martin')",Article,NIH,https://api.elsevier.com/content/abstract/scopus_id/85055425406,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85055425406&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85055425406&origin=inward
Dynamic Neural Representations: An Inferential Challenge for fMRI,Martin,Avniel Singh Ghuman;Alex Martin,2019-07-01,2,Trends in Cognitive Sciences,534-536,10.1016/j.tics.2019.04.004,31103440,85065538990,"('2-s2.0-85065538990', 'Martin')",Short Survey,NSF,https://api.elsevier.com/content/abstract/scopus_id/85065538990,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85065538990&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85065538990&origin=inward
Stimulus vignetting and orientation selectivity in human visual cortex,Merriam,David J. Heeger;Zvi N. Roth;Elisha P. Merriam,2018-08-14,4,eLife,,10.7554/eLife.37241,30106372,85054133925,"('2-s2.0-85054133925', 'Merriam')",Article,NIH,https://api.elsevier.com/content/abstract/scopus_id/85054133925,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85054133925&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85054133925&origin=inward
Specific visual subregions of TPJ mediate reorienting of spatial attention,Merriam,Marisa Carrasco;David J. Heeger;Elisha P. Merriam;Laura Dugué,2018-01-01,18,Cerebral Cortex,2375-2390,10.1093/cercor/bhx140,28981585,85053080665,"('2-s2.0-85053080665', 'Merriam')",Article,,https://api.elsevier.com/content/abstract/scopus_id/85053080665,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053080665&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053080665&origin=inward
Lack of Association between Serotonin Transporter Gene (SLC6A4) Promoter Methylation and Amygdala Response during Negative Emotion Processing in Individuals with Alcohol Dependence,Momenan,Daniel B. Rosoff;Falk W. Lohoff;Audrey Luo;Samantha J. Fede;Jisoo Lee;Christine Muench;Hui Sun;Reza Momenan;Jeesun Jung;Katrin Charlet,2019-01-01,0,Alcohol and Alcoholism,209-215,10.1093/alcalc/agz032,31008507,85066163873,"('2-s2.0-85066163873', 'Momenan')",Article,NIH,https://api.elsevier.com/content/abstract/scopus_id/85066163873,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85066163873&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85066163873&origin=inward
The relationship between delay discounting and alcohol dependence in individuals with and without comorbid psychopathology,Momenan,Julia E. Swan;Matthew E. Sloan;Vijay A. Ramchandani;Joshua Gowin;Reza Momenan,2019-02-14,6,Psychopharmacology,775-785,10.1007/s00213-018-5113-3,30456539,85056848429,"('2-s2.0-85056848429', 'Momenan')",Article,,https://api.elsevier.com/content/abstract/scopus_id/85056848429,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85056848429&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85056848429&origin=inward
Mega-analysis of gray matter volume in substance dependence: General and substance-specific regional effects,Momenan,Elliot A. Stein;Alan Evans;Marc Etienne Rousseau;Anne Uhlmann;Alain Dagher;Mary M. Heitzeg;Yann Ying Chye;Ozlem Korucuoglu;Martin P. Paulus;Anna E. Goudriaan;Dick Veltman;Patricia Conrod;Maartje Luijten;Godfrey Pearlson;Margaret J. Wright;Rita Z. Goldstein;April May;Robert Hester;Sarah Whittle;Angelica Morales;Chiang Shan R. Li;Dan J. Stein;John J. Foxe;Rocio Martin-Santos;Nadia Solowij;Murat Yücel;Deborah Yurgelun-Todd;Renée Schluter;Catherine Orr;Nelly Alia-Klein;Valentina Lorenzetti;Betty Jo Salmeron;Bader Chaarani;Zsuzsika Sjoerds;Susan Tapert;Scott Mackey;Kent Hutchison;Samantha Brooks;Sheng Zhang;Reza Momenan;Hugh Garavan;Nicholas B. Allen;David C. Glahn;Albert Batalla;Elisabeth Caparelli;Derrek P. Hibar;Sylvane Desrivieres;Ruth Van Holst;Sara Blaine;Gunter Schumann;Philip Spechler;Nicholas Allgaier;Janna Cousijn;Lianne Schmaal;Paul M. Thompson;Edythe London;Sarah Feldstein-Ewing;Janice Bunn;Rajita Sinha;Neda Jahanshad,2019-02-01,34,American Journal of Psychiatry,119-128,10.1176/appi.ajp.2018.17040415,30336705,85061044348,"('2-s2.0-85061044348', 'Momenan')",Article,NIMH,https://api.elsevier.com/content/abstract/scopus_id/85061044348,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85061044348&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85061044348&origin=inward
Resting state connectivity best predicts alcohol use severity in moderate to heavy alcohol users,Momenan,Samantha J. Fede;Erica N. Grodin;Nancy Diazgranados;Reza Momenan;Sarah F. Dean,2019-01-01,9,NeuroImage: Clinical,,10.1016/j.nicl.2019.101782,30921611,85063233336,"('2-s2.0-85063233336', 'Momenan')",Article,NIH,https://api.elsevier.com/content/abstract/scopus_id/85063233336,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85063233336&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85063233336&origin=inward
The major depressive disorder GWAS-supported variant rs10514299 in TMEM161B-MEF2C predicts putamen activation during reward processing in alcohol dependence,Momenan,Falk W. Lohoff;Carlos R. Cortes;Christine Muench;Melanie Schwandt;Reza Momenan;Jeesun Jung,2018-12-01,3,Translational Psychiatry,,10.1038/s41398-018-0184-9,30006604,85049883924,"('2-s2.0-85049883924', 'Momenan')",Article,NIH,https://api.elsevier.com/content/abstract/scopus_id/85049883924,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049883924&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85049883924&origin=inward
Neural Correlates of Compulsive Alcohol Seeking in Heavy Drinkers,Momenan,Lauren Sussman;Markus Heilig;Kelsey Sundby;Grace M. Brennan;Erica N. Grodin;Nancy Diazgranados;Reza Momenan,2018-12-01,15,Biological Psychiatry: Cognitive Neuroscience and Neuroimaging,1022-1031,10.1016/j.bpsc.2018.06.009,30143454,85057151554,"('2-s2.0-85057151554', 'Momenan')",Article,NIAAA,https://api.elsevier.com/content/abstract/scopus_id/85057151554,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85057151554&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85057151554&origin=inward
Effects of Ketamine on Brain Activity During Emotional Processing: Differential Findings in Depressed Versus Healthy Control Participants,Nugent,Carlos A. Zarate;Maura L. Furey;Jessica L. Reed;Joanna E. Szczepanik;Jennifer W. Evans;Allison C. Nugent,2019-07-01,7,Biological Psychiatry: Cognitive Neuroscience and Neuroimaging,610-618,10.1016/j.bpsc.2019.01.005,30826253,85062038500,"('2-s2.0-85062038500', 'Nugent')",Article,NIMH,https://api.elsevier.com/content/abstract/scopus_id/85062038500,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85062038500&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85062038500&origin=inward
Synaptic potentiation and rapid antidepressant response to ketamine in treatment-resistant major depression: A replication study,Nugent,Carlos A. Zarate;Jessica R. Gilbert;Allison C. Nugent;Kathleen E. Wills,2019-01-30,8,Psychiatry Research - Neuroimaging,64-66,10.1016/j.pscychresns.2018.09.001,30551012,85058137370,"('2-s2.0-85058137370', 'Nugent')",Article,NARSAD,https://api.elsevier.com/content/abstract/scopus_id/85058137370,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85058137370&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058137370&origin=inward
Multimodal imaging reveals a complex pattern of dysfunction in corticolimbic pathways in major depressive disorder,Nugent,Carlos A. Zarate;Dipavo Banerjee;Sam L. Snider;Cristan Farmer;Jennifer W. Evans;Allison C. Nugent,2019-01-01,8,Human Brain Mapping,3940-3950,10.1002/hbm.24679,31179620,85067390070,"('2-s2.0-85067390070', 'Nugent')",Article,NARSAD,https://api.elsevier.com/content/abstract/scopus_id/85067390070,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85067390070&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85067390070&origin=inward
Mapping anticipatory anhedonia: an fMRI study,Nugent,Carlos A. Zarate;Jessica L. Reed;Carl W. Lejuez;Joanna E. Szczepanik;Jennifer W. Evans;Allison C. Nugent;Elizabeth D. Ballard,2019-12-01,1,Brain Imaging and Behavior,1624-1634,10.1007/s11682-019-00084-w,31030316,85064911728,"('2-s2.0-85064911728', 'Nugent')",Article,NARSAD,https://api.elsevier.com/content/abstract/scopus_id/85064911728,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85064911728&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85064911728&origin=inward
Functional Imaging of the Implicit Association of the Self With Life and Death,Nugent,Carlos A. Zarate;Jessica L. Reed;Daniel P. Dickstein;Matthew K. Nock;Jennifer W. Evans;Julia S. Yarrington;Allison C. Nugent;Elizabeth D. Ballard;Joanna Szczepanik,2019-12-01,2,Suicide and Life-Threatening Behavior,1600-1608,10.1111/sltb.12543,30761601,85061584307,"('2-s2.0-85061584307', 'Nugent')",Article,NARSAD,https://api.elsevier.com/content/abstract/scopus_id/85061584307,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85061584307&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85061584307&origin=inward
