Title,PI,Authors,Date,Cited-By Count,Source Title,Page Range,DOI,PubMed ID,Scopus ID,EID,Type,Funding Agency,Abstract Link,Scopus Link,Cited-By Link
Large expert-curated database for benchmarking document similarity detection in biomedical literature search,Atlas,Elvis Martis;Hyemin Han;Olivier Pourret;Thilo Muth;Yael Gelfer;Cong Cong Yin;Brian P. Dalrymple;Kok H. Tan;Henrik Nilsson;Konstantinos Voskarides;Vincent D. Costa;Alan W.C. Liew;Simon S. Smith;David Lalaouna;Junpeng Zhang;Francesco Marinello;Oliver Bosch;William Bradshaw;Gabriel M.F. Almeida;Long Yang;Brooke A. Ammerman;Chongxing Zhang;Antoine Danchin;Pawel Miotla;Barthelemy Diouf;Adrian Meule;Natalia Echeverría;Ken Honjo;Grace Ng;Mohamed A. El-Esawi;Paul Perco;Zhongheng Zhang;Hannes Klump;Zarrin Basharat;Felix J. Hüttner;Brett Nixon;Luca G. Campana;Said E.D.R. Amer;Tuomas Eerola;Arun R. Chandrasekaran;Páraic O. Cuív;Aik Choon Tan;Dominik G. Grimm;Lukasz Kurgan;Neil Tuttle;Nicholas A. Kurniawan;Thomas Liehr;Robert Siebers;Hari P. Devkota;Ruud P.M. Dings;Sebastiaan Werten;Marco Cascella;Peter Brenneisen;David J. Harvey;Pragashnie Govender;Felix Ehret;James A.L. Brown;Christopher McCrum;Evangelos Evangelou;Nitin Kumar;Karen A. Boehme;Sandeep C. Sabnis;Olivier Terrier;Andy W.K. Yeung;Wenfeng Xia;Darius Widera;Raman Dhariwal;Oliver Blanck;Taeok Bae;Xiaolei Zhang;Zhanwu Dai;Koichi Ogami;Marcus D. Hartmann;Martin S. Staege;Mark J. van Raaij;Daniel Prieto;Farid Rahimi;Zuzanna Bukowy-Bieryllo;Marco Tofani;Ene Choo Tan;Oliver J. Gurney-Champion;Santhilal Subhash;Swapna V. Daulatabad;Michael S. Engel;Radu Tamaian;Joonas H. Kauppila;Carlos O. Sorzano;Paul A. Cobine;Mark Bleackley;Yaoqi Zhou;Walter Fierz;Giuseppe Riva;Hannes Sallmon;Fabian Filipp;Douglas P. Gladue;Carl S. Goodyear;Peter Brown;Johan Bengtsson-Palme;Tomislav Cernava;Willy A. Flegel,2019-01-01,0,Database,1-67,10.1093/database/baz085,,85082592913,2-s2.0-85082592913,Article,,https://api.elsevier.com/content/abstract/scopus_id/85082592913,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85082592913&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85082592913&origin=inward
"The Neuroscience of Pain: Biobehavioral, Developmental, and Psychosocial Mechanisms Relevant to Intervention Targets",Atlas,Lauren Y. Atlas;Mustafa alʼAbsi,2018-11-01,1,Psychosomatic medicine,788-790,10.1097/PSY.0000000000000642,30395102,85056287158,2-s2.0-85056287158,Editorial,,https://api.elsevier.com/content/abstract/scopus_id/85056287158,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85056287158&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85056287158&origin=inward
Anticipatory Effects on Perceived Pain: Associations With Development and Anxiety,Atlas,Troy C. Dildine;Ellen Leibenluft;Daniel S. Pine;Kenneth E. Towbin;Esther E. Palacios-Barrios;Rany Abend;Julia S. Feldman;Lauren Y. Atlas;Andrea L. Gold;Kalina J. Michalska,2018-11-01,1,Psychosomatic medicine,853-860,10.1097/PSY.0000000000000608,29851868,85056253946,2-s2.0-85056253946,Article,NCCIH,https://api.elsevier.com/content/abstract/scopus_id/85056253946,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85056253946&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85056253946&origin=inward
Pain Neuroimaging in Humans: A Primer for Beginners and Non-Imagers,Atlas,Lauren Y. Atlas;Tim V. Salomons;Massieh Moayedi,2018-09-01,5,Journal of Pain,961.e1-961.e21,10.1016/j.jpain.2018.03.011,29608974,85048799279,2-s2.0-85048799279,Article,IASP,https://api.elsevier.com/content/abstract/scopus_id/85048799279,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85048799279&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85048799279&origin=inward
Implications of placebo and nocebo effects for clinical practice: Expert consensus,Atlas,Claudia Carvalho;Paul Enck;Regine Klinger;Andrea W.M. Evers;Tor D. Wager;Katja Weimer;Jeremy Howick;Ulrike Bingel;John M. Kelley;Irving Kirsch;Jens Gaab;Karin Meissner;Ted J. Kaptchuk;Marco Annoni;Amir Raz;Fabrizio Benedetti;Ben Colagiuri;Luana Colloca;Bruce E. Wampold;Andrew L. Geers;Lene Vase;Charlotte Blease;Kaya J. Peerdeman;Christian Büchel;Vitaly Napadow;Lauren Y. Atlas;Winfried Rief;Katja Wiech;Alia J. Crum;Karin B. Jensen,2018-08-01,77,Psychotherapy and Psychosomatics,204-210,10.1159/000490354,29895014,85048528421,2-s2.0-85048528421,Article,NIH,https://api.elsevier.com/content/abstract/scopus_id/85048528421,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85048528421&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85048528421&origin=inward
Pain or nociception? Subjective experience mediates the effects of acute noxious heat on autonomic responses,Atlas,Dominik Mischkowski;Troy C. Dildine;Lauren Y. Atlas;Esther E. Palacios-Barrios;Lauren Banker,2018-04-01,9,Pain,699-711,10.1097/j.pain.0000000000001132,29251663,85053901804,2-s2.0-85053901804,Article,NIH,https://api.elsevier.com/content/abstract/scopus_id/85053901804,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053901804&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053901804&origin=inward
Prepared stimuli enhance aversive learning without weakening the impact of verbal instructions,Atlas,Lauren Y. Atlas;Elizabeth A. Phelps,2018-02-01,9,Learning and Memory,100-104,10.1101/lm.046359.117,29339561,85041221624,2-s2.0-85041221624,Article,NCCIH,https://api.elsevier.com/content/abstract/scopus_id/85041221624,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85041221624&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85041221624&origin=inward
The Role of Social and Interpersonal Factors in Placebo Analgesia,Atlas,Lauren Y. Atlas;Elizabeth A. Necka,2018-01-01,4,International Review of Neurobiology,161-179,10.1016/bs.irn.2018.01.006,29681323,85042655026,2-s2.0-85042655026,Chapter,,https://api.elsevier.com/content/abstract/scopus_id/85042655026,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85042655026&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85042655026&origin=inward
Intention to learn modulates the impact of reward and punishment on sequence learning,Baker,Chris I. Baker;Adam Steel;Charlotte J. Stagg,2020-12-01,0,Scientific Reports,,10.1038/s41598-020-65853-w,32483289,85085854297,2-s2.0-85085854297,Article,WT,https://api.elsevier.com/content/abstract/scopus_id/85085854297,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85085854297&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85085854297&origin=inward
The Human Posterior Superior Temporal Sulcus Samples Visual Space Differently From Other Face-Selective Regions,Baker,Amy Pilkington;David Pitcher;Leslie G. Ungerleider;Lionel Rauth;Chris Baker;Dwight J. Kravitz,2020-03-21,3,"Cerebral cortex (New York, N.Y. : 1991)",778-785,10.1093/cercor/bhz125,31264693,85074469445,2-s2.0-85074469445,Article,,https://api.elsevier.com/content/abstract/scopus_id/85074469445,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85074469445&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85074469445&origin=inward
Boundaries Extend and Contract in Scene Memory Depending on Image Properties,Baker,Wilma A. Bainbridge;Chris I. Baker,2020-02-03,1,Current Biology,537-543.e3,10.1016/j.cub.2019.12.004,31983637,85078482896,2-s2.0-85078482896,Article,NIH,https://api.elsevier.com/content/abstract/scopus_id/85078482896,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85078482896&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85078482896&origin=inward
"Recent advances in understanding object recognition in the human brain: Deep neural networks, temporal dynamics, and context",Baker,Chris Baker;Susan G. Wardle,2020-01-01,0,F1000Research,,10.12688/f1000research.22296.1,32566136,85086870175,2-s2.0-85086870175,Review,,https://api.elsevier.com/content/abstract/scopus_id/85086870175,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85086870175&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85086870175&origin=inward
Memorability of words in arbitrary verbal associations modulates memory retrieval in the anterior temporal lobe,Baker,Weizhen Xie;Kareem A. Zaghloul;Wilma A. Bainbridge;Chris I. Baker;Sara K. Inati,2020-01-01,0,Nature Human Behaviour,,10.1038/s41562-020-0901-2,,85087025590,2-s2.0-85087025590,Article,NIMH,https://api.elsevier.com/content/abstract/scopus_id/85087025590,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087025590&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087025590&origin=inward
Drawings of real-world scenes during free recall reveal detailed object and spatial information in memory,Baker,Wilma A. Bainbridge;Chris I. Baker;Elizabeth H. Hall,2019-12-01,8,Nature Communications,,10.1038/s41467-018-07830-6,30602785,85059503402,2-s2.0-85059503402,Article,NIH,https://api.elsevier.com/content/abstract/scopus_id/85059503402,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85059503402&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059503402&origin=inward
Memorability of photographs in subjective cognitive decline and mild cognitive impairment: Implications for cognitive assessment,Baker,Laura Dobisch;Arturo Cardenas-Blanco;Frederic Brosseron;Klaus Fliessbach;Janna Rudolph;Hartmut Schütze;Christoph Laske;Michael Heneka;Anja Schneider;Annika Spottke;David Berron;Coraline Metzger;Katharina Buerger;Frank Jessen;Michael Wagner;Josef Priller;Eike Jakob Spruth;Claudia Bartels;Ingo Kilimann;Chris I. Baker;Martina Buchmann;Daniel Janowitz;Steffen Wolfsgruber;Daniel Bittner;Emrah Düzel;Slawek Altenstein;Siyao Li;Wilma A. Bainbridge;Dominik Diesing;Wenzel Glanz;Barbara Kofler;Jens Wiltfang;Stefan Teipel;Oliver Peters,2019-12-01,2,"Alzheimer's and Dementia: Diagnosis, Assessment and Disease Monitoring",610-618,10.1016/j.dadm.2019.07.005,,85071610785,2-s2.0-85071610785,Article,DZNE,https://api.elsevier.com/content/abstract/scopus_id/85071610785,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85071610785&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85071610785&origin=inward
Scene Perception in the Human Brain,Baker,Chris I. Baker;Russell A. Epstein,2019-09-15,7,Annual Review of Vision Science,373-397,10.1146/annurev-vision-091718-014809,31226012,85072266392,2-s2.0-85072266392,Review,NIMH,https://api.elsevier.com/content/abstract/scopus_id/85072266392,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85072266392&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85072266392&origin=inward
Differential Representations of Perceived and Retrieved Visual Information in Hippocampus and Cortex,Baker,Chris I. Baker;Sue Hyun Lee;Dwight J. Kravitz,2019-09-13,2,Cerebral Cortex,4452-4461,10.1093/cercor/bhy325,30590463,85072026868,2-s2.0-85072026868,Article,NARSAD,https://api.elsevier.com/content/abstract/scopus_id/85072026868,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85072026868&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85072026868&origin=inward
Similarity judgments and cortical visual responses reflect different properties of object and scene categories in naturalistic images,Baker,Chris I. Baker;Iris I.A. Groen;Marcie L. King;Adam Steel;Dwight J. Kravitz,2019-08-15,4,NeuroImage,368-382,10.1016/j.neuroimage.2019.04.079,31054350,85065390290,2-s2.0-85065390290,Article,NIH,https://api.elsevier.com/content/abstract/scopus_id/85065390290,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85065390290&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85065390290&origin=inward
Distinct subdivisions of human medial parietal cortex support recollection of people and places,Baker,Adrian W. Gilmore;Chris I. Baker;Alexis Kidder;Edward H. Silson;Adam Steel,2019-07-01,4,eLife,,10.7554/eLife.47391,31305238,85070789103,2-s2.0-85070789103,Article,NIH,https://api.elsevier.com/content/abstract/scopus_id/85070789103,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85070789103&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85070789103&origin=inward
Differential impact of reward and punishment on functional connectivity after skill learning,Baker,Chris I. Baker;Edward H. Silson;Adam Steel;Charlotte J. Stagg,2019-04-01,1,NeuroImage,95-105,10.1016/j.neuroimage.2019.01.009,30630080,85059851109,2-s2.0-85059851109,Article,WT,https://api.elsevier.com/content/abstract/scopus_id/85059851109,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85059851109&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059851109&origin=inward
Finding the baby in the bath water – evidence for task-specific changes in resting state functional connectivity evoked by training,Baker,Gang Chen;Chris I. Baker;Cibu Thomas;Aaron Trefler;Adam Steel,2019-03-01,0,NeuroImage,524-538,10.1016/j.neuroimage.2018.12.038,30578926,85059115445,2-s2.0-85059115445,Article,NIBIB,https://api.elsevier.com/content/abstract/scopus_id/85059115445,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85059115445&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059115445&origin=inward
A posterior–anterior distinction between scene perception and scene construction in human medial parietal cortex,Baker,Adrian W. Gilmore;Chris I. Baker;Sarah E. Kalinowski;Alex Martin;Alexis Kidder;Edward H. Silson;Adam Steel,2019-01-23,7,Journal of Neuroscience,705-717,10.1523/JNEUROSCI.1219-18.2018,30504281,85060371320,2-s2.0-85060371320,Article,,https://api.elsevier.com/content/abstract/scopus_id/85060371320,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85060371320&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060371320&origin=inward
Scenes in the Human Brain: Comparing 2D versus 3D Representations,Baker,Chris I. Baker;Iris I.A. Groen,2019-01-02,0,Neuron,8-10,10.1016/j.neuron.2018.12.014,30605658,85058693165,2-s2.0-85058693165,Short Survey,,https://api.elsevier.com/content/abstract/scopus_id/85058693165,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85058693165&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058693165&origin=inward
Revealing interpretable object representations from human behavior,Baker,Chris I. Baker;Martin N. Hebart;Charles Y. Zheng;Francisco Pereira,2019-01-01,2,"7th International Conference on Learning Representations, ICLR 2019",,,,85083951659,2-s2.0-85083951659,Conference Paper,NIMH,https://api.elsevier.com/content/abstract/scopus_id/85083951659,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85083951659&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85083951659&origin=inward
"THINGS: A database of 1,854 object concepts and more than 26,000 naturalistic object images",Baker,Chris I. Baker;Anna Corriveau;Adam H. Dickter;Caitlin Van Wicklin;Wan Y. Kwok;Alexis Kidder;Martin N. Hebart,2019-01-01,1,PLoS ONE,,10.1371/journal.pone.0223792,31613926,85073476140,2-s2.0-85073476140,Article,,https://api.elsevier.com/content/abstract/scopus_id/85073476140,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85073476140&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85073476140&origin=inward
Visual responsiveness in sensorimotor cortex is increased following amputation and reduced after mirror therapy,Baker,Lindsay Hussey-Anderson;Sharon Weeks;Emily Bilger;Jack W. Tsao;Annie W.Y. Chan;Chris I. Baker;Paul F. Pasquina;Sarah Griffin;Viktoria Elkis,2019-01-01,1,NeuroImage: Clinical,,10.1016/j.nicl.2019.101882,31226622,85067362998,2-s2.0-85067362998,Article,CIB,https://api.elsevier.com/content/abstract/scopus_id/85067362998,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85067362998&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85067362998&origin=inward
"Correction: Differential sampling of visual space in ventral and dorsal early visual cortex(The Journal of Neuroscience, (2018), 28, 2294-2303)",Baker,Chris I. Baker;Edward H. Silson;Richard C. Reynolds;Dwight J. Kravitz,2018-10-24,0,Journal of Neuroscience,9303-9309,10.1523/JNEUROSCI.2307-18.2018,,85055545562,2-s2.0-85055545562,Erratum,,https://api.elsevier.com/content/abstract/scopus_id/85055545562,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85055545562&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85055545562&origin=inward
New advances in encoding and decoding of brain signals,Baker,Marcel van Gerven;Chris I. Baker,2018-10-15,2,NeuroImage,1-3,10.1016/j.neuroimage.2018.06.064,29960086,85049332695,2-s2.0-85049332695,Editorial,,https://api.elsevier.com/content/abstract/scopus_id/85049332695,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049332695&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85049332695&origin=inward
Deconstructing multivariate decoding for the study of brain function,Baker,Chris I. Baker;Martin N. Hebart,2018-10-15,46,NeuroImage,4-18,10.1016/j.neuroimage.2017.08.005,28782682,85027250284,2-s2.0-85027250284,Review,NIMH,https://api.elsevier.com/content/abstract/scopus_id/85027250284,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85027250284&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85027250284&origin=inward
Bayesian population receptive field modelling,Baker,Will Penny;Chris Ian Baker;Peter Zeidman;Dietrich Samuel Schwarzkopf;Edward Harry Silson,2018-10-15,13,NeuroImage,173-187,10.1016/j.neuroimage.2017.09.008,28890416,85029565496,2-s2.0-85029565496,Article,WT,https://api.elsevier.com/content/abstract/scopus_id/85029565496,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85029565496&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85029565496&origin=inward
"The temporal evolution of conceptual object representations revealed through models of behavior, semantics and deep neural networks",Baker,B. B. Bankson;I. I.A. Groen;M. N. Hebart;C. I. Baker,2018-09-01,10,NeuroImage,172-182,10.1016/j.neuroimage.2018.05.037,29777825,85047414025,2-s2.0-85047414025,Article,NIMH,https://api.elsevier.com/content/abstract/scopus_id/85047414025,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85047414025&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85047414025&origin=inward
Statistical power comparisons at 3T and 7T with a GO / NOGO task,Baker,Joseph Leshin;Peter A. Bandettini;Chris I. Baker;Daniel Glen;Christian Grillon;Nicholas Balderston;Jeffrey Yen-Ting Liu;Monique Ernst;Richard Reynolds;Gang Chen;Salvatore Torrisi,2018-07-15,4,NeuroImage,100-110,10.1016/j.neuroimage.2018.03.071,29621615,85052626935,2-s2.0-85052626935,Article,NIMH,https://api.elsevier.com/content/abstract/scopus_id/85052626935,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85052626935&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052626935&origin=inward
