Title,Searched PI,Authors (scrambled),Date,Cited-By Count,Source Title,Page Range,DOI,PubMed ID,Scopus ID,EID,Type,Funding Agency,Abstract Link,Scopus Link,Cited-By Link
Large expert-curated database for benchmarking document similarity detection in biomedical literature search,Atlas,Elvis Martis;Hyemin Han;Olivier Pourret;Thilo Muth;Yael Gelfer;Cong Cong Yin;Brian P. Dalrymple;Kok H. Tan;Henrik Nilsson;Konstantinos Voskarides;Vincent D. Costa;Alan W.C. Liew;Simon S. Smith;David Lalaouna;Junpeng Zhang;Francesco Marinello;Oliver Bosch;William Bradshaw;Gabriel M.F. Almeida;Long Yang;Brooke A. Ammerman;Chongxing Zhang;Antoine Danchin;Pawel Miotla;Barthelemy Diouf;Adrian Meule;Natalia Echeverría;Ken Honjo;Grace Ng;Mohamed A. El-Esawi;Paul Perco;Zhongheng Zhang;Hannes Klump;Zarrin Basharat;Felix J. Hüttner;Brett Nixon;Luca G. Campana;Said E.D.R. Amer;Tuomas Eerola;Arun R. Chandrasekaran;Páraic O. Cuív;Aik Choon Tan;Dominik G. Grimm;Lukasz Kurgan;Neil Tuttle;Nicholas A. Kurniawan;Thomas Liehr;Robert Siebers;Hari P. Devkota;Ruud P.M. Dings;Sebastiaan Werten;Marco Cascella;Peter Brenneisen;David J. Harvey;Pragashnie Govender;Felix Ehret;James A.L. Brown;Christopher McCrum;Evangelos Evangelou;Nitin Kumar;Karen A. Boehme;Sandeep C. Sabnis;Olivier Terrier;Andy W.K. Yeung;Wenfeng Xia;Darius Widera;Raman Dhariwal;Oliver Blanck;Taeok Bae;Xiaolei Zhang;Zhanwu Dai;Koichi Ogami;Marcus D. Hartmann;Martin S. Staege;Mark J. van Raaij;Daniel Prieto;Farid Rahimi;Zuzanna Bukowy-Bieryllo;Marco Tofani;Ene Choo Tan;Oliver J. Gurney-Champion;Santhilal Subhash;Swapna V. Daulatabad;Michael S. Engel;Radu Tamaian;Joonas H. Kauppila;Carlos O. Sorzano;Paul A. Cobine;Mark Bleackley;Yaoqi Zhou;Walter Fierz;Giuseppe Riva;Hannes Sallmon;Fabian Filipp;Douglas P. Gladue;Carl S. Goodyear;Peter Brown;Johan Bengtsson-Palme;Tomislav Cernava;Willy A. Flegel,2019-01-01,0,Database,1-67,10.1093/database/baz085,,85082592913,2-s2.0-85082592913,Article,,https://api.elsevier.com/content/abstract/scopus_id/85082592913,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85082592913&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85082592913&origin=inward
Intention to learn modulates the impact of reward and punishment on sequence learning,Baker,Chris I. Baker;Adam Steel;Charlotte J. Stagg,2020-12-01,0,Scientific Reports,,10.1038/s41598-020-65853-w,32483289.0,85085854297,2-s2.0-85085854297,Article,WT,https://api.elsevier.com/content/abstract/scopus_id/85085854297,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85085854297&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85085854297&origin=inward
The Human Posterior Superior Temporal Sulcus Samples Visual Space Differently From Other Face-Selective Regions,Baker,Amy Pilkington;David Pitcher;Leslie G. Ungerleider;Lionel Rauth;Chris Baker;Dwight J. Kravitz,2020-03-21,3,"Cerebral cortex (New York, N.Y. : 1991)",778-785,10.1093/cercor/bhz125,31264693.0,85074469445,2-s2.0-85074469445,Article,,https://api.elsevier.com/content/abstract/scopus_id/85074469445,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85074469445&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85074469445&origin=inward
Boundaries Extend and Contract in Scene Memory Depending on Image Properties,Baker,Wilma A. Bainbridge;Chris I. Baker,2020-02-03,1,Current Biology,537-543.e3,10.1016/j.cub.2019.12.004,31983637.0,85078482896,2-s2.0-85078482896,Article,NIH,https://api.elsevier.com/content/abstract/scopus_id/85078482896,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85078482896&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85078482896&origin=inward
"Recent advances in understanding object recognition in the human brain: Deep neural networks, temporal dynamics, and context",Baker,Chris Baker;Susan G. Wardle,2020-01-01,0,F1000Research,,10.12688/f1000research.22296.1,32566136.0,85086870175,2-s2.0-85086870175,Review,,https://api.elsevier.com/content/abstract/scopus_id/85086870175,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85086870175&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85086870175&origin=inward
Memorability of words in arbitrary verbal associations modulates memory retrieval in the anterior temporal lobe,Baker,Weizhen Xie;Kareem A. Zaghloul;Wilma A. Bainbridge;Chris I. Baker;Sara K. Inati,2020-01-01,0,Nature Human Behaviour,,10.1038/s41562-020-0901-2,,85087025590,2-s2.0-85087025590,Article,NIMH,https://api.elsevier.com/content/abstract/scopus_id/85087025590,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087025590&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087025590&origin=inward
Drawings of real-world scenes during free recall reveal detailed object and spatial information in memory,Baker,Wilma A. Bainbridge;Chris I. Baker;Elizabeth H. Hall,2019-12-01,8,Nature Communications,,10.1038/s41467-018-07830-6,30602785.0,85059503402,2-s2.0-85059503402,Article,NIH,https://api.elsevier.com/content/abstract/scopus_id/85059503402,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85059503402&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059503402&origin=inward
Memorability of photographs in subjective cognitive decline and mild cognitive impairment: Implications for cognitive assessment,Baker,Laura Dobisch;Arturo Cardenas-Blanco;Frederic Brosseron;Klaus Fliessbach;Janna Rudolph;Hartmut Schütze;Christoph Laske;Michael Heneka;Anja Schneider;Annika Spottke;David Berron;Coraline Metzger;Katharina Buerger;Frank Jessen;Michael Wagner;Josef Priller;Eike Jakob Spruth;Claudia Bartels;Ingo Kilimann;Chris I. Baker;Martina Buchmann;Daniel Janowitz;Steffen Wolfsgruber;Daniel Bittner;Emrah Düzel;Slawek Altenstein;Siyao Li;Wilma A. Bainbridge;Dominik Diesing;Wenzel Glanz;Barbara Kofler;Jens Wiltfang;Stefan Teipel;Oliver Peters,2019-12-01,2,"Alzheimer's and Dementia: Diagnosis, Assessment and Disease Monitoring",610-618,10.1016/j.dadm.2019.07.005,,85071610785,2-s2.0-85071610785,Article,DZNE,https://api.elsevier.com/content/abstract/scopus_id/85071610785,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85071610785&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85071610785&origin=inward
Scene Perception in the Human Brain,Baker,Chris I. Baker;Russell A. Epstein,2019-09-15,7,Annual Review of Vision Science,373-397,10.1146/annurev-vision-091718-014809,31226012.0,85072266392,2-s2.0-85072266392,Review,NIMH,https://api.elsevier.com/content/abstract/scopus_id/85072266392,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85072266392&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85072266392&origin=inward
Differential Representations of Perceived and Retrieved Visual Information in Hippocampus and Cortex,Baker,Chris I. Baker;Sue Hyun Lee;Dwight J. Kravitz,2019-09-13,2,Cerebral Cortex,4452-4461,10.1093/cercor/bhy325,30590463.0,85072026868,2-s2.0-85072026868,Article,NARSAD,https://api.elsevier.com/content/abstract/scopus_id/85072026868,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85072026868&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85072026868&origin=inward
Distinct subdivisions of human medial parietal cortex support recollection of people and places,Baker,Adrian W. Gilmore;Chris I. Baker;Alexis Kidder;Edward H. Silson;Adam Steel,2019-07-01,4,eLife,,10.7554/eLife.47391,31305238.0,85070789103,2-s2.0-85070789103,Article,NIH,https://api.elsevier.com/content/abstract/scopus_id/85070789103,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85070789103&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85070789103&origin=inward
Revealing interpretable object representations from human behavior,Baker,Chris I. Baker;Martin N. Hebart;Charles Y. Zheng;Francisco Pereira,2019-01-01,2,"7th International Conference on Learning Representations, ICLR 2019",,,,85083951659,2-s2.0-85083951659,Conference Paper,NIMH,https://api.elsevier.com/content/abstract/scopus_id/85083951659,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85083951659&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85083951659&origin=inward
"THINGS: A database of 1,854 object concepts and more than 26,000 naturalistic object images",Baker,Chris I. Baker;Anna Corriveau;Adam H. Dickter;Caitlin Van Wicklin;Wan Y. Kwok;Alexis Kidder;Martin N. Hebart,2019-01-01,1,PLoS ONE,,10.1371/journal.pone.0223792,31613926.0,85073476140,2-s2.0-85073476140,Article,,https://api.elsevier.com/content/abstract/scopus_id/85073476140,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85073476140&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85073476140&origin=inward
"Untangling the relatedness among correlations, part III: Inter-subject correlation analysis through Bayesian multilevel modeling for naturalistic scanning",Bandettini,Peter A. Bandettini;Xianggui Qu;Peter J. Molfese;Paul A. Taylor;Robert W. Cox;Emily S. Finn;Gang Chen,2020-08-01,2,NeuroImage,,10.1016/j.neuroimage.2019.116474,31884057.0,85077746474,2-s2.0-85077746474,Article,NIH,https://api.elsevier.com/content/abstract/scopus_id/85077746474,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85077746474&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85077746474&origin=inward
Idiosynchrony: From shared responses to individual differences during naturalistic neuroimaging,Bandettini,Peter A. Bandettini;Peter J. Molfese;Dylan Nielson;Emily S. Finn;Arman Y. Khojandi;Daniel A. Handwerker;Enrico Glerean,2020-07-15,1,NeuroImage,,10.1016/j.neuroimage.2020.116828,32276065.0,85083213520,2-s2.0-85083213520,Article,NIH,https://api.elsevier.com/content/abstract/scopus_id/85083213520,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85083213520&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85083213520&origin=inward
Fast detection and reduction of local transient artifacts in resting-state fMRI,Bandettini,Peter A. Bandettini;Hang Joon Jo;Richard C. Reynolds;Robert W. Cox;Irena Balzekas;Stephen J. Gotts;Alex Martin;Daniel A. Handwerker,2020-05-01,0,Computers in Biology and Medicine,,10.1016/j.compbiomed.2020.103742,32421647.0,85083039076,2-s2.0-85083039076,Article,NINDS,https://api.elsevier.com/content/abstract/scopus_id/85083039076,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85083039076&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85083039076&origin=inward
Sub-millimeter fMRI reveals multiple topographical digit representations that form action maps in human motor cortex,Bandettini,Sriranga Kashyap;Laurentius Huber;Dimo Ivanov;Peter A. Bandettini;Emily S. Finn;Natalia Petridou;Daniel R. Glen;Sean Marrett;Daniel A. Handwerker;Marlene Bönstrup;Benedikt A. Poser;Jozien Goense,2020-03-01,2,NeuroImage,,10.1016/j.neuroimage.2019.116463,31862526.0,85076716317,2-s2.0-85076716317,Article,NIMH,https://api.elsevier.com/content/abstract/scopus_id/85076716317,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85076716317&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076716317&origin=inward
Integrated VASO and perfusion contrast: A new tool for laminar functional MRI,Bandettini,Peter A. Bandettini;Larentius Huber;Linqing Li;Yuhui Chai;Benedikt A. Poser,2020-02-15,1,NeuroImage,,10.1016/j.neuroimage.2019.116358,31740341.0,85075905478,2-s2.0-85075905478,Article,NIMH,https://api.elsevier.com/content/abstract/scopus_id/85075905478,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85075905478&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85075905478&origin=inward
Layer-dependent functional connectivity methods,Bandettini,Kamil Uludag;Laurentius Huber;Tony Stöcker;Seong Gi Kim;Peter A. Bandettini;Emily S. Finn;Yuhui Chai;Rüdiger Stirnberg;Rainer Goebel;Sean Marrett;So Hyun Han;Benedikt A. Poser,2020-01-01,0,Progress in Neurobiology,,10.1016/j.pneurobio.2020.101835,32512115.0,85086426599,2-s2.0-85086426599,Review,IBS,https://api.elsevier.com/content/abstract/scopus_id/85086426599,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85086426599&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85086426599&origin=inward
A deconvolution algorithm for multi-echo functional MRI: Multi-echo Sparse Paradigm Free Mapping,Bandettini,Peter A. Bandettini;Puja Panwar;Javier Gonzalez-Castillo;Stefano Moia;César Caballero-Gaudes,2019-11-15,1,NeuroImage,,10.1016/j.neuroimage.2019.116081,31419613.0,85070906384,2-s2.0-85070906384,Article,MSCA,https://api.elsevier.com/content/abstract/scopus_id/85070906384,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85070906384&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85070906384&origin=inward
Imaging the spontaneous flow of thought: Distinct periods of cognition contribute to dynamic functional connectivity during rest,Bandettini,Peter A. Bandettini;Javier Gonzalez-Castillo;César Caballero-Gaudes;Daniel A. Handwerker;Natasha Topolski;Francisco Pereira,2019-11-15,1,NeuroImage,,10.1016/j.neuroimage.2019.116129,31461679.0,85071438369,2-s2.0-85071438369,Article,NIMH,https://api.elsevier.com/content/abstract/scopus_id/85071438369,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85071438369&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85071438369&origin=inward
Layer-dependent activity in human prefrontal cortex during working memory,Bandettini,Laurentius Huber;Peter A. Bandettini;Peter J. Molfese;Emily S. Finn;David C. Jangraw,2019-10-01,5,Nature Neuroscience,1687-1695,10.1038/s41593-019-0487-z,31551596.0,85072613366,2-s2.0-85072613366,Article,NIMH,https://api.elsevier.com/content/abstract/scopus_id/85072613366,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85072613366&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85072613366&origin=inward
Composite Hydrogel Model of Cartilage Predicts Its Load-Bearing Ability,Basser,Ferenc Horkay;Peter J. Basser,2020-12-01,0,Scientific Reports,,10.1038/s41598-020-64917-1,32415132.0,85084787739,2-s2.0-85084787739,Article,NSF,https://api.elsevier.com/content/abstract/scopus_id/85084787739,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85084787739&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85084787739&origin=inward
Retaining information from multidimensional correlation MRI using a spectral regions of interest generator,Basser,Daniel P. Perl;Dan Benjamini;Michal E. Komlosh;Kristofor Pas;Peter J. Basser,2020-12-01,1,Scientific Reports,,10.1038/s41598-020-60092-5,32094400.0,85079806695,2-s2.0-85079806695,Article,NICHD,https://api.elsevier.com/content/abstract/scopus_id/85079806695,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85079806695&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85079806695&origin=inward
Feasibility of filter-exchange imaging (FEXI) in measuring different exchange processes in human brain,Basser,Chaoliang Sun;Ruiliang Bai;Peter Basser;Hui Liang;Zhaoqing Li;Yi Cheng Hsu,2020-10-01,1,NeuroImage,,10.1016/j.neuroimage.2020.117039,32534125.0,85086676983,2-s2.0-85086676983,Article,NICHD,https://api.elsevier.com/content/abstract/scopus_id/85086676983,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85086676983&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85086676983&origin=inward
Real-time measurement of diffusion exchange rate in biological tissue,Basser,Melanie Falgairolle;Dan Benjamini;Rea Ravin;Nathan H. Williamson;Peter J. Basser;Michael J. O'Donovan;Teddy X. Cai,2020-08-01,0,Journal of Magnetic Resonance,,10.1016/j.jmr.2020.106782,,85087884082,2-s2.0-85087884082,Article,NIGMS,https://api.elsevier.com/content/abstract/scopus_id/85087884082,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087884082&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087884082&origin=inward
Measuring conduction velocity distributions in peripheral nerves using neurophysiological techniques,Basser,Sinisa Pajevic;Felipe Vial;Giorgio Leodori;Alexandru V. Avram;Mark Hallett;Peter J. Basser;Zhen Ni,2020-07-01,0,Clinical Neurophysiology,1581-1588,10.1016/j.clinph.2020.04.008,32417700.0,85084586854,2-s2.0-85084586854,Article,NINDS,https://api.elsevier.com/content/abstract/scopus_id/85084586854,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85084586854&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85084586854&origin=inward
Multidimensional correlation MRI,Basser,Dan Benjamini;Peter J. Basser,2020-01-01,0,NMR in Biomedicine,,10.1002/nbm.4226,31909516.0,85078238001,2-s2.0-85078238001,Article,,https://api.elsevier.com/content/abstract/scopus_id/85078238001,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85078238001&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85078238001&origin=inward
Magnetic resonance measurements of cellular and sub-cellular membrane structures in live and fixed neural tissue,Basser,Melanie Falgairolle;Dave Ide;Dan Benjamini;Ruiliang Bai;Michael J. O’donovan;Hellmut Merkle;Rea Ravin;Nathan H. Williamson;Dvir Blivis;Peter J. Basser;Nima S. Ghorashi;Teddy X. Cai,2019-12-01,4,eLife,,10.7554/eLife.51101,31829935.0,85077588305,2-s2.0-85077588305,Article,ZJU,https://api.elsevier.com/content/abstract/scopus_id/85077588305,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85077588305&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85077588305&origin=inward
Erratum: Regulation of myelin structure and conduction velocity by perinodal astrocytes (Proceedings of the National Academy of Sciences of the United States of America (2018) 115 (11832–11837) DOI: 10.1073/pnas.1811013115),Basser,Dong Ho Woo;Sinisa Pajevic;Jeffrey C. Smith;R. Douglas Fields;Olena Bukalo;William C. Huffman;Vanja Lazarevic;Dipankar J. Dutta;Philip R. Lee;Peter J. Basser;Hiroaki Wake;Shahriar SheikhBahaei,2019-06-18,0,Proceedings of the National Academy of Sciences of the United States of America,12574,10.1073/pnas.1908361116,31182569.0,85067842616,2-s2.0-85067842616,Erratum,,https://api.elsevier.com/content/abstract/scopus_id/85067842616,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85067842616&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85067842616&origin=inward
Water mobility spectral imaging of the spinal cord: Parametrization of model-free Laplace MRI,Basser,Dan Benjamini;Peter J. Basser,2019-02-01,4,Magnetic Resonance Imaging,187-193,10.1016/j.mri.2018.12.001,30584915.0,85059102417,2-s2.0-85059102417,Article,NICHD,https://api.elsevier.com/content/abstract/scopus_id/85059102417,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85059102417&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059102417&origin=inward
Brain active transmembrane water cycling measured by MR is associated with neuronal activity,Basser,Charles S. Springer;Dietmar Plenz;Ruiliang Bai;Peter J. Basser,2019-02-01,9,Magnetic Resonance in Medicine,1280-1295,10.1002/mrm.27473,30194797.0,85052920558,2-s2.0-85052920558,Article,ZJU,https://api.elsevier.com/content/abstract/scopus_id/85052920558,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85052920558&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052920558&origin=inward
